529070,12/06/2023
573047,12/25/2022
717122,11/06/2022
309481,08/16/2024
609310,09/11/2022
592373,02/07/2022
981752,06/22/2023
866916,06/10/2023
339817,11/27/2023
991483,07/26/2023
941754,05/20/2024
878863,03/06/2022
178253,08/07/2023
362877,04/19/2023
347722,04/18/2024
221820,09/09/2023
115554,10/30/2024
253769,07/22/2023
623903,11/03/2023
834868,09/05/2022
404543,08/02/2023
872827,10/02/2022
430226,06/03/2023
806276,12/24/2022
187784,12/26/2022
790204,03/31/2022
738890,01/04/2023
877527,03/11/2022
571085,01/05/2023
949663,02/21/2024
443774,09/26/2022
203957,01/28/2024
459580,05/29/2023
597806,10/08/2022
969573,05/03/2022
854389,07/03/2024
385776,01/16/2022
820124,08/05/2022
721124,03/17/2023
963887,04/15/2024
847080,08/02/2024
913943,06/05/2022
505806,05/02/2022
452782,09/15/2024
469933,05/22/2023
157660,10/26/2022
324127,06/12/2023
183237,10/24/2024
661125,10/23/2023
950884,04/07/2023
491374,05/04/2022
959011,11/25/2022
665520,02/26/2023
590385,02/28/2023
139326,05/27/2023
946324,09/25/2022
309135,10/16/2022
716838,02/10/2022
813946,05/16/2024
660798,06/15/2022
977686,11/08/2022
698173,09/23/2024
473699,04/29/2024
521820,11/14/2022
431729,10/10/2022
498912,01/11/2023
967358,09/28/2022
615538,07/07/2023
947260,03/23/2022
294741,05/15/2024
299694,02/02/2024
144264,11/10/2023
675641,07/01/2024
186140,05/31/2023
328914,04/29/2023
675991,05/08/2023
893027,11/28/2024
614274,08/11/2023
541332,05/09/2022
974297,10/17/2022
826946,02/18/2023
458162,11/06/2023
678779,01/25/2022
457624,06/06/2024
325980,02/12/2022
674971,11/15/2022
988498,06/17/2023
552915,11/13/2023
498029,04/28/2023
314390,12/14/2023
249194,04/01/2024
891556,04/08/2024
669876,10/08/2023
137622,03/28/2023
516625,05/12/2022
183929,07/03/2022
688459,08/10/2023
887900,08/23/2024
656922,05/31/2023
944758,07/02/2023
