529070,2.87
573047,3.15
717122,3.76
309481,3.51
609310,2.0
592373,3.09
981752,2.06
866916,2.63
339817,2.25
991483,3.94
941754,3.88
878863,3.16
178253,2.58
362877,3.27
347722,2.2
221820,2.33
115554,2.24
253769,2.0
623903,2.14
834868,2.16
404543,2.92
872827,2.01
430226,3.67
806276,3.88
187784,3.45
790204,3.99
738890,3.84
877527,3.79
571085,2.21
949663,2.5
443774,2.55
203957,2.45
459580,2.78
597806,2.56
969573,3.25
854389,3.87
385776,3.79
820124,3.86
721124,2.62
963887,2.97
847080,2.01
913943,2.18
505806,2.77
452782,3.66
469933,3.31
157660,3.21
324127,3.74
183237,2.84
661125,3.64
950884,3.71
491374,3.57
959011,3.67
665520,2.4
590385,2.51
139326,3.93
946324,3.9
309135,2.39
716838,2.13
813946,2.09
660798,2.75
977686,3.68
698173,2.51
473699,3.76
521820,2.43
431729,3.65
498912,2.18
967358,3.63
615538,3.82
947260,3.16
294741,3.98
299694,2.92
144264,2.88
675641,3.16
186140,3.92
328914,3.7
675991,2.67
893027,2.53
614274,2.61
541332,3.62
974297,2.58
826946,2.15
458162,2.26
678779,2.0
457624,2.35
325980,3.84
674971,2.76
988498,3.17
552915,2.75
498029,2.24
314390,3.09
249194,2.03
891556,2.98
669876,3.84
137622,3.47
516625,2.63
183929,3.59
688459,2.83
887900,2.13
656922,3.65
944758,3.19
